id,item_id,store_id,state_id,cat_id,dept_id,demand_pattern
HOUSEHOLD_1_032_WI_3_evaluation,HOUSEHOLD_1_032,WI_3,WI,HOUSEHOLD,HOUSEHOLD_1,Erratic
HOUSEHOLD_1_277_TX_2_evaluation,HOUSEHOLD_1_277,TX_2,TX,HOUSEHOLD,HOUSEHOLD_1,Erratic
FOODS_1_092_WI_2_evaluation,FOODS_1_092,WI_2,WI,FOODS,FOODS_1,Erratic
FOODS_3_064_CA_2_evaluation,FOODS_3_064,CA_2,CA,FOODS,FOODS_3,Erratic
FOODS_1_021_CA_4_evaluation,FOODS_1_021,CA_4,CA,FOODS,FOODS_1,Erratic
HOUSEHOLD_1_179_TX_2_evaluation,HOUSEHOLD_1_179,TX_2,TX,HOUSEHOLD,HOUSEHOLD_1,Erratic
FOODS_3_460_WI_3_evaluation,FOODS_3_460,WI_3,WI,FOODS,FOODS_3,Erratic
FOODS_3_376_TX_2_evaluation,FOODS_3_376,TX_2,TX,FOODS,FOODS_3,Erratic
FOODS_3_089_WI_1_evaluation,FOODS_3_089,WI_1,WI,FOODS,FOODS_3,Erratic
FOODS_1_018_CA_4_evaluation,FOODS_1_018,CA_4,CA,FOODS,FOODS_1,Erratic
FOODS_3_808_CA_1_evaluation,FOODS_3_808,CA_1,CA,FOODS,FOODS_3,Erratic
FOODS_3_295_CA_2_evaluation,FOODS_3_295,CA_2,CA,FOODS,FOODS_3,Erratic
FOODS_3_610_CA_3_evaluation,FOODS_3_610,CA_3,CA,FOODS,FOODS_3,Erratic
FOODS_3_245_TX_3_evaluation,FOODS_3_245,TX_3,TX,FOODS,FOODS_3,Erratic
FOODS_1_184_CA_3_evaluation,FOODS_1_184,CA_3,CA,FOODS,FOODS_1,Erratic
FOODS_3_707_WI_3_evaluation,FOODS_3_707,WI_3,WI,FOODS,FOODS_3,Erratic
FOODS_3_822_WI_2_evaluation,FOODS_3_822,WI_2,WI,FOODS,FOODS_3,Erratic
FOODS_3_785_TX_1_evaluation,FOODS_3_785,TX_1,TX,FOODS,FOODS_3,Erratic
FOODS_3_468_TX_1_evaluation,FOODS_3_468,TX_1,TX,FOODS,FOODS_3,Erratic
FOODS_3_349_CA_3_evaluation,FOODS_3_349,CA_3,CA,FOODS,FOODS_3,Erratic
FOODS_3_064_TX_3_evaluation,FOODS_3_064,TX_3,TX,FOODS,FOODS_3,Erratic
FOODS_3_101_WI_3_evaluation,FOODS_3_101,WI_3,WI,FOODS,FOODS_3,Erratic
FOODS_1_162_TX_1_evaluation,FOODS_1_162,TX_1,TX,FOODS,FOODS_1,Erratic
FOODS_1_018_CA_2_evaluation,FOODS_1_018,CA_2,CA,FOODS,FOODS_1,Erratic
FOODS_1_110_CA_2_evaluation,FOODS_1_110,CA_2,CA,FOODS,FOODS_1,Erratic
FOODS_1_067_CA_3_evaluation,FOODS_1_067,CA_3,CA,FOODS,FOODS_1,Erratic
FOODS_3_746_WI_3_evaluation,FOODS_3_746,WI_3,WI,FOODS,FOODS_3,Erratic
FOODS_1_210_CA_2_evaluation,FOODS_1_210,CA_2,CA,FOODS,FOODS_1,Erratic
FOODS_3_154_TX_2_evaluation,FOODS_3_154,TX_2,TX,FOODS,FOODS_3,Erratic
HOBBIES_1_103_CA_3_evaluation,HOBBIES_1_103,CA_3,CA,HOBBIES,HOBBIES_1,Erratic
FOODS_3_741_CA_2_evaluation,FOODS_3_741,CA_2,CA,FOODS,FOODS_3,Erratic
FOODS_3_136_WI_2_evaluation,FOODS_3_136,WI_2,WI,FOODS,FOODS_3,Erratic
FOODS_3_231_TX_1_evaluation,FOODS_3_231,TX_1,TX,FOODS,FOODS_3,Erratic
FOODS_1_210_TX_2_evaluation,FOODS_1_210,TX_2,TX,FOODS,FOODS_1,Erratic
FOODS_1_021_CA_1_evaluation,FOODS_1_021,CA_1,CA,FOODS,FOODS_1,Erratic
FOODS_3_761_CA_3_evaluation,FOODS_3_761,CA_3,CA,FOODS,FOODS_3,Erratic
HOBBIES_1_348_CA_3_evaluation,HOBBIES_1_348,CA_3,CA,HOBBIES,HOBBIES_1,Erratic
FOODS_3_541_TX_2_evaluation,FOODS_3_541,TX_2,TX,FOODS,FOODS_3,Erratic
HOUSEHOLD_1_303_WI_1_evaluation,HOUSEHOLD_1_303,WI_1,WI,HOUSEHOLD,HOUSEHOLD_1,Erratic
FOODS_3_541_CA_4_evaluation,FOODS_3_541,CA_4,CA,FOODS,FOODS_3,Erratic
HOUSEHOLD_1_351_TX_1_evaluation,HOUSEHOLD_1_351,TX_1,TX,HOUSEHOLD,HOUSEHOLD_1,Erratic
FOODS_3_501_CA_2_evaluation,FOODS_3_501,CA_2,CA,FOODS,FOODS_3,Erratic
FOODS_1_173_CA_2_evaluation,FOODS_1_173,CA_2,CA,FOODS,FOODS_1,Erratic
FOODS_3_133_CA_1_evaluation,FOODS_3_133,CA_1,CA,FOODS,FOODS_3,Erratic
FOODS_3_413_CA_2_evaluation,FOODS_3_413,CA_2,CA,FOODS,FOODS_3,Erratic
FOODS_3_327_TX_2_evaluation,FOODS_3_327,TX_2,TX,FOODS,FOODS_3,Erratic
FOODS_3_455_TX_3_evaluation,FOODS_3_455,TX_3,TX,FOODS,FOODS_3,Erratic
HOUSEHOLD_1_448_WI_1_evaluation,HOUSEHOLD_1_448,WI_1,WI,HOUSEHOLD,HOUSEHOLD_1,Erratic
FOODS_3_782_WI_3_evaluation,FOODS_3_782,WI_3,WI,FOODS,FOODS_3,Erratic
FOODS_3_546_TX_1_evaluation,FOODS_3_546,TX_1,TX,FOODS,FOODS_3,Erratic
FOODS_3_124_WI_3_evaluation,FOODS_3_124,WI_3,WI,FOODS,FOODS_3,Erratic
FOODS_3_324_WI_1_evaluation,FOODS_3_324,WI_1,WI,FOODS,FOODS_3,Erratic
FOODS_2_222_CA_1_evaluation,FOODS_2_222,CA_1,CA,FOODS,FOODS_2,Erratic
HOUSEHOLD_1_456_CA_3_evaluation,HOUSEHOLD_1_456,CA_3,CA,HOUSEHOLD,HOUSEHOLD_1,Erratic
HOUSEHOLD_1_439_TX_1_evaluation,HOUSEHOLD_1_439,TX_1,TX,HOUSEHOLD,HOUSEHOLD_1,Erratic
FOODS_3_462_CA_1_evaluation,FOODS_3_462,CA_1,CA,FOODS,FOODS_3,Erratic
HOUSEHOLD_1_303_WI_3_evaluation,HOUSEHOLD_1_303,WI_3,WI,HOUSEHOLD,HOUSEHOLD_1,Erratic
HOUSEHOLD_1_277_WI_3_evaluation,HOUSEHOLD_1_277,WI_3,WI,HOUSEHOLD,HOUSEHOLD_1,Erratic
HOUSEHOLD_1_521_CA_2_evaluation,HOUSEHOLD_1_521,CA_2,CA,HOUSEHOLD,HOUSEHOLD_1,Erratic
FOODS_3_327_WI_2_evaluation,FOODS_3_327,WI_2,WI,FOODS,FOODS_3,Erratic
FOODS_3_526_TX_3_evaluation,FOODS_3_526,TX_3,TX,FOODS,FOODS_3,Erratic
HOBBIES_1_103_CA_1_evaluation,HOBBIES_1_103,CA_1,CA,HOBBIES,HOBBIES_1,Erratic
FOODS_3_386_CA_3_evaluation,FOODS_3_386,CA_3,CA,FOODS,FOODS_3,Erratic
FOODS_1_184_TX_2_evaluation,FOODS_1_184,TX_2,TX,FOODS,FOODS_1,Erratic
FOODS_3_462_WI_2_evaluation,FOODS_3_462,WI_2,WI,FOODS,FOODS_3,Erratic
HOUSEHOLD_1_169_TX_2_evaluation,HOUSEHOLD_1_169,TX_2,TX,HOUSEHOLD,HOUSEHOLD_1,Erratic
FOODS_3_406_TX_3_evaluation,FOODS_3_406,TX_3,TX,FOODS,FOODS_3,Erratic
FOODS_3_589_WI_2_evaluation,FOODS_3_589,WI_2,WI,FOODS,FOODS_3,Erratic
FOODS_3_541_CA_2_evaluation,FOODS_3_541,CA_2,CA,FOODS,FOODS_3,Erratic
FOODS_3_519_CA_3_evaluation,FOODS_3_519,CA_3,CA,FOODS,FOODS_3,Erratic
FOODS_2_384_WI_2_evaluation,FOODS_2_384,WI_2,WI,FOODS,FOODS_2,Erratic
HOUSEHOLD_1_151_TX_1_evaluation,HOUSEHOLD_1_151,TX_1,TX,HOUSEHOLD,HOUSEHOLD_1,Erratic
FOODS_1_096_WI_2_evaluation,FOODS_1_096,WI_2,WI,FOODS,FOODS_1,Erratic
FOODS_3_501_WI_2_evaluation,FOODS_3_501,WI_2,WI,FOODS,FOODS_3,Erratic
FOODS_3_783_CA_1_evaluation,FOODS_3_783,CA_1,CA,FOODS,FOODS_3,Erratic
FOODS_3_205_WI_1_evaluation,FOODS_3_205,WI_1,WI,FOODS,FOODS_3,Erratic
FOODS_3_311_CA_3_evaluation,FOODS_3_311,CA_3,CA,FOODS,FOODS_3,Erratic
FOODS_3_514_CA_1_evaluation,FOODS_3_514,CA_1,CA,FOODS,FOODS_3,Erratic
FOODS_3_508_WI_3_evaluation,FOODS_3_508,WI_3,WI,FOODS,FOODS_3,Erratic
HOUSEHOLD_1_516_TX_3_evaluation,HOUSEHOLD_1_516,TX_3,TX,HOUSEHOLD,HOUSEHOLD_1,Erratic
FOODS_2_222_WI_1_evaluation,FOODS_2_222,WI_1,WI,FOODS,FOODS_2,Erratic
FOODS_3_711_TX_2_evaluation,FOODS_3_711,TX_2,TX,FOODS,FOODS_3,Erratic
FOODS_3_547_CA_3_evaluation,FOODS_3_547,CA_3,CA,FOODS,FOODS_3,Erratic
HOUSEHOLD_1_465_CA_1_evaluation,HOUSEHOLD_1_465,CA_1,CA,HOUSEHOLD,HOUSEHOLD_1,Erratic
FOODS_3_822_CA_1_evaluation,FOODS_3_822,CA_1,CA,FOODS,FOODS_3,Erratic
FOODS_3_719_TX_2_evaluation,FOODS_3_719,TX_2,TX,FOODS,FOODS_3,Erratic
FOODS_3_348_WI_3_evaluation,FOODS_3_348,WI_3,WI,FOODS,FOODS_3,Erratic
FOODS_3_131_WI_3_evaluation,FOODS_3_131,WI_3,WI,FOODS,FOODS_3,Erratic
HOUSEHOLD_1_118_CA_2_evaluation,HOUSEHOLD_1_118,CA_2,CA,HOUSEHOLD,HOUSEHOLD_1,Erratic
HOUSEHOLD_1_373_WI_3_evaluation,HOUSEHOLD_1_373,WI_3,WI,HOUSEHOLD,HOUSEHOLD_1,Erratic
FOODS_1_018_CA_3_evaluation,FOODS_1_018,CA_3,CA,FOODS,FOODS_1,Erratic
FOODS_1_046_CA_2_evaluation,FOODS_1_046,CA_2,CA,FOODS,FOODS_1,Erratic
HOUSEHOLD_1_389_WI_1_evaluation,HOUSEHOLD_1_389,WI_1,WI,HOUSEHOLD,HOUSEHOLD_1,Erratic
FOODS_3_205_TX_2_evaluation,FOODS_3_205,TX_2,TX,FOODS,FOODS_3,Erratic
FOODS_1_108_CA_3_evaluation,FOODS_1_108,CA_3,CA,FOODS,FOODS_1,Erratic
FOODS_3_566_CA_3_evaluation,FOODS_3_566,CA_3,CA,FOODS,FOODS_3,Erratic
HOBBIES_1_209_CA_3_evaluation,HOBBIES_1_209,CA_3,CA,HOBBIES,HOBBIES_1,Erratic
FOODS_3_809_TX_1_evaluation,FOODS_3_809,TX_1,TX,FOODS,FOODS_3,Erratic
FOODS_3_525_CA_3_evaluation,FOODS_3_525,CA_3,CA,FOODS,FOODS_3,Erratic
FOODS_3_809_WI_2_evaluation,FOODS_3_809,WI_2,WI,FOODS,FOODS_3,Erratic
HOUSEHOLD_1_389_TX_2_evaluation,HOUSEHOLD_1_389,TX_2,TX,HOUSEHOLD,HOUSEHOLD_1,Erratic
HOUSEHOLD_2_316_CA_1_evaluation,HOUSEHOLD_2_316,CA_1,CA,HOUSEHOLD,HOUSEHOLD_2,Intermittent
HOBBIES_1_040_WI_2_evaluation,HOBBIES_1_040,WI_2,WI,HOBBIES,HOBBIES_1,Intermittent
HOBBIES_2_079_CA_2_evaluation,HOBBIES_2_079,CA_2,CA,HOBBIES,HOBBIES_2,Intermittent
HOBBIES_1_132_WI_2_evaluation,HOBBIES_1_132,WI_2,WI,HOBBIES,HOBBIES_1,Intermittent
HOUSEHOLD_1_255_CA_3_evaluation,HOUSEHOLD_1_255,CA_3,CA,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOUSEHOLD_2_229_WI_2_evaluation,HOUSEHOLD_2_229,WI_2,WI,HOUSEHOLD,HOUSEHOLD_2,Intermittent
HOBBIES_1_200_WI_3_evaluation,HOBBIES_1_200,WI_3,WI,HOBBIES,HOBBIES_1,Intermittent
HOUSEHOLD_1_265_CA_3_evaluation,HOUSEHOLD_1_265,CA_3,CA,HOUSEHOLD,HOUSEHOLD_1,Intermittent
FOODS_2_245_TX_3_evaluation,FOODS_2_245,TX_3,TX,FOODS,FOODS_2,Intermittent
FOODS_2_302_CA_4_evaluation,FOODS_2_302,CA_4,CA,FOODS,FOODS_2,Intermittent
FOODS_1_213_TX_3_evaluation,FOODS_1_213,TX_3,TX,FOODS,FOODS_1,Intermittent
FOODS_3_775_TX_3_evaluation,FOODS_3_775,TX_3,TX,FOODS,FOODS_3,Intermittent
FOODS_3_649_TX_2_evaluation,FOODS_3_649,TX_2,TX,FOODS,FOODS_3,Intermittent
HOBBIES_2_048_WI_3_evaluation,HOBBIES_2_048,WI_3,WI,HOBBIES,HOBBIES_2,Intermittent
HOUSEHOLD_1_398_CA_1_evaluation,HOUSEHOLD_1_398,CA_1,CA,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOUSEHOLD_1_316_CA_3_evaluation,HOUSEHOLD_1_316,CA_3,CA,HOUSEHOLD,HOUSEHOLD_1,Intermittent
FOODS_3_379_WI_2_evaluation,FOODS_3_379,WI_2,WI,FOODS,FOODS_3,Intermittent
HOUSEHOLD_1_241_CA_4_evaluation,HOUSEHOLD_1_241,CA_4,CA,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOUSEHOLD_1_355_CA_1_evaluation,HOUSEHOLD_1_355,CA_1,CA,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOUSEHOLD_2_232_TX_3_evaluation,HOUSEHOLD_2_232,TX_3,TX,HOUSEHOLD,HOUSEHOLD_2,Intermittent
HOBBIES_2_119_WI_1_evaluation,HOBBIES_2_119,WI_1,WI,HOBBIES,HOBBIES_2,Intermittent
FOODS_2_179_TX_3_evaluation,FOODS_2_179,TX_3,TX,FOODS,FOODS_2,Intermittent
HOUSEHOLD_2_278_WI_1_evaluation,HOUSEHOLD_2_278,WI_1,WI,HOUSEHOLD,HOUSEHOLD_2,Intermittent
FOODS_2_188_TX_1_evaluation,FOODS_2_188,TX_1,TX,FOODS,FOODS_2,Intermittent
HOUSEHOLD_1_282_CA_4_evaluation,HOUSEHOLD_1_282,CA_4,CA,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOUSEHOLD_1_380_CA_3_evaluation,HOUSEHOLD_1_380,CA_3,CA,HOUSEHOLD,HOUSEHOLD_1,Intermittent
FOODS_2_126_CA_4_evaluation,FOODS_2_126,CA_4,CA,FOODS,FOODS_2,Intermittent
FOODS_1_010_WI_1_evaluation,FOODS_1_010,WI_1,WI,FOODS,FOODS_1,Intermittent
FOODS_3_745_TX_1_evaluation,FOODS_3_745,TX_1,TX,FOODS,FOODS_3,Intermittent
HOBBIES_1_061_WI_2_evaluation,HOBBIES_1_061,WI_2,WI,HOBBIES,HOBBIES_1,Intermittent
HOBBIES_1_276_TX_2_evaluation,HOBBIES_1_276,TX_2,TX,HOBBIES,HOBBIES_1,Intermittent
HOUSEHOLD_1_230_TX_1_evaluation,HOUSEHOLD_1_230,TX_1,TX,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOUSEHOLD_2_371_WI_2_evaluation,HOUSEHOLD_2_371,WI_2,WI,HOUSEHOLD,HOUSEHOLD_2,Intermittent
HOUSEHOLD_1_487_CA_2_evaluation,HOUSEHOLD_1_487,CA_2,CA,HOUSEHOLD,HOUSEHOLD_1,Intermittent
FOODS_1_208_TX_3_evaluation,FOODS_1_208,TX_3,TX,FOODS,FOODS_1,Intermittent
FOODS_1_177_CA_1_evaluation,FOODS_1_177,CA_1,CA,FOODS,FOODS_1,Intermittent
HOBBIES_2_071_CA_2_evaluation,HOBBIES_2_071,CA_2,CA,HOBBIES,HOBBIES_2,Intermittent
HOBBIES_1_423_TX_2_evaluation,HOBBIES_1_423,TX_2,TX,HOBBIES,HOBBIES_1,Intermittent
FOODS_3_129_WI_2_evaluation,FOODS_3_129,WI_2,WI,FOODS,FOODS_3,Intermittent
FOODS_3_026_TX_2_evaluation,FOODS_3_026,TX_2,TX,FOODS,FOODS_3,Intermittent
FOODS_3_712_WI_3_evaluation,FOODS_3_712,WI_3,WI,FOODS,FOODS_3,Intermittent
FOODS_3_400_WI_3_evaluation,FOODS_3_400,WI_3,WI,FOODS,FOODS_3,Intermittent
HOUSEHOLD_1_400_TX_1_evaluation,HOUSEHOLD_1_400,TX_1,TX,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOBBIES_1_306_CA_1_evaluation,HOBBIES_1_306,CA_1,CA,HOBBIES,HOBBIES_1,Intermittent
FOODS_1_207_WI_1_evaluation,FOODS_1_207,WI_1,WI,FOODS,FOODS_1,Intermittent
HOUSEHOLD_1_298_WI_3_evaluation,HOUSEHOLD_1_298,WI_3,WI,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOUSEHOLD_2_252_CA_4_evaluation,HOUSEHOLD_2_252,CA_4,CA,HOUSEHOLD,HOUSEHOLD_2,Intermittent
HOUSEHOLD_1_211_WI_1_evaluation,HOUSEHOLD_1_211,WI_1,WI,HOUSEHOLD,HOUSEHOLD_1,Intermittent
FOODS_3_445_WI_3_evaluation,FOODS_3_445,WI_3,WI,FOODS,FOODS_3,Intermittent
HOUSEHOLD_2_506_WI_1_evaluation,HOUSEHOLD_2_506,WI_1,WI,HOUSEHOLD,HOUSEHOLD_2,Intermittent
FOODS_1_106_WI_2_evaluation,FOODS_1_106,WI_2,WI,FOODS,FOODS_1,Intermittent
HOBBIES_1_220_CA_2_evaluation,HOBBIES_1_220,CA_2,CA,HOBBIES,HOBBIES_1,Intermittent
HOUSEHOLD_2_137_CA_4_evaluation,HOUSEHOLD_2_137,CA_4,CA,HOUSEHOLD,HOUSEHOLD_2,Intermittent
HOBBIES_1_138_WI_2_evaluation,HOBBIES_1_138,WI_2,WI,HOBBIES,HOBBIES_1,Intermittent
FOODS_3_307_CA_3_evaluation,FOODS_3_307,CA_3,CA,FOODS,FOODS_3,Intermittent
FOODS_2_180_TX_3_evaluation,FOODS_2_180,TX_3,TX,FOODS,FOODS_2,Intermittent
HOUSEHOLD_2_195_TX_1_evaluation,HOUSEHOLD_2_195,TX_1,TX,HOUSEHOLD,HOUSEHOLD_2,Intermittent
FOODS_3_551_WI_3_evaluation,FOODS_3_551,WI_3,WI,FOODS,FOODS_3,Intermittent
HOBBIES_1_315_CA_3_evaluation,HOBBIES_1_315,CA_3,CA,HOBBIES,HOBBIES_1,Intermittent
HOUSEHOLD_1_200_TX_1_evaluation,HOUSEHOLD_1_200,TX_1,TX,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOUSEHOLD_2_134_TX_1_evaluation,HOUSEHOLD_2_134,TX_1,TX,HOUSEHOLD,HOUSEHOLD_2,Intermittent
FOODS_3_748_WI_3_evaluation,FOODS_3_748,WI_3,WI,FOODS,FOODS_3,Intermittent
HOBBIES_1_118_TX_1_evaluation,HOBBIES_1_118,TX_1,TX,HOBBIES,HOBBIES_1,Intermittent
FOODS_2_080_CA_3_evaluation,FOODS_2_080,CA_3,CA,FOODS,FOODS_2,Intermittent
HOUSEHOLD_1_290_TX_3_evaluation,HOUSEHOLD_1_290,TX_3,TX,HOUSEHOLD,HOUSEHOLD_1,Intermittent
FOODS_2_010_CA_1_evaluation,FOODS_2_010,CA_1,CA,FOODS,FOODS_2,Intermittent
HOUSEHOLD_1_241_CA_1_evaluation,HOUSEHOLD_1_241,CA_1,CA,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOUSEHOLD_1_133_TX_3_evaluation,HOUSEHOLD_1_133,TX_3,TX,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOUSEHOLD_1_014_WI_3_evaluation,HOUSEHOLD_1_014,WI_3,WI,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOBBIES_1_068_TX_2_evaluation,HOBBIES_1_068,TX_2,TX,HOBBIES,HOBBIES_1,Intermittent
FOODS_3_243_CA_1_evaluation,FOODS_3_243,CA_1,CA,FOODS,FOODS_3,Intermittent
HOUSEHOLD_2_223_TX_3_evaluation,HOUSEHOLD_2_223,TX_3,TX,HOUSEHOLD,HOUSEHOLD_2,Intermittent
HOUSEHOLD_2_326_CA_1_evaluation,HOUSEHOLD_2_326,CA_1,CA,HOUSEHOLD,HOUSEHOLD_2,Intermittent
FOODS_3_043_WI_3_evaluation,FOODS_3_043,WI_3,WI,FOODS,FOODS_3,Intermittent
HOUSEHOLD_2_247_TX_3_evaluation,HOUSEHOLD_2_247,TX_3,TX,HOUSEHOLD,HOUSEHOLD_2,Intermittent
FOODS_2_156_WI_3_evaluation,FOODS_2_156,WI_3,WI,FOODS,FOODS_2,Intermittent
FOODS_3_341_CA_3_evaluation,FOODS_3_341,CA_3,CA,FOODS,FOODS_3,Intermittent
FOODS_3_216_CA_1_evaluation,FOODS_3_216,CA_1,CA,FOODS,FOODS_3,Intermittent
HOBBIES_1_340_TX_3_evaluation,HOBBIES_1_340,TX_3,TX,HOBBIES,HOBBIES_1,Intermittent
HOBBIES_1_321_CA_4_evaluation,HOBBIES_1_321,CA_4,CA,HOBBIES,HOBBIES_1,Intermittent
FOODS_3_276_CA_1_evaluation,FOODS_3_276,CA_1,CA,FOODS,FOODS_3,Intermittent
HOUSEHOLD_1_263_CA_4_evaluation,HOUSEHOLD_1_263,CA_4,CA,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOUSEHOLD_2_234_CA_2_evaluation,HOUSEHOLD_2_234,CA_2,CA,HOUSEHOLD,HOUSEHOLD_2,Intermittent
HOBBIES_2_053_WI_1_evaluation,HOBBIES_2_053,WI_1,WI,HOBBIES,HOBBIES_2,Intermittent
HOUSEHOLD_1_268_CA_1_evaluation,HOUSEHOLD_1_268,CA_1,CA,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOBBIES_1_251_TX_2_evaluation,HOBBIES_1_251,TX_2,TX,HOBBIES,HOBBIES_1,Intermittent
HOUSEHOLD_1_321_CA_2_evaluation,HOUSEHOLD_1_321,CA_2,CA,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOUSEHOLD_2_075_CA_3_evaluation,HOUSEHOLD_2_075,CA_3,CA,HOUSEHOLD,HOUSEHOLD_2,Intermittent
HOUSEHOLD_1_160_CA_3_evaluation,HOUSEHOLD_1_160,CA_3,CA,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOUSEHOLD_1_093_TX_2_evaluation,HOUSEHOLD_1_093,TX_2,TX,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOUSEHOLD_2_516_TX_3_evaluation,HOUSEHOLD_2_516,TX_3,TX,HOUSEHOLD,HOUSEHOLD_2,Intermittent
HOBBIES_2_047_WI_3_evaluation,HOBBIES_2_047,WI_3,WI,HOBBIES,HOBBIES_2,Intermittent
FOODS_3_315_WI_2_evaluation,FOODS_3_315,WI_2,WI,FOODS,FOODS_3,Intermittent
HOUSEHOLD_1_345_CA_4_evaluation,HOUSEHOLD_1_345,CA_4,CA,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOUSEHOLD_1_233_WI_1_evaluation,HOUSEHOLD_1_233,WI_1,WI,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOBBIES_1_281_WI_3_evaluation,HOBBIES_1_281,WI_3,WI,HOBBIES,HOBBIES_1,Intermittent
HOUSEHOLD_1_233_TX_3_evaluation,HOUSEHOLD_1_233,TX_3,TX,HOUSEHOLD,HOUSEHOLD_1,Intermittent
FOODS_2_296_WI_2_evaluation,FOODS_2_296,WI_2,WI,FOODS,FOODS_2,Intermittent
HOUSEHOLD_2_379_WI_2_evaluation,HOUSEHOLD_2_379,WI_2,WI,HOUSEHOLD,HOUSEHOLD_2,Intermittent
HOBBIES_1_192_WI_1_evaluation,HOBBIES_1_192,WI_1,WI,HOBBIES,HOBBIES_1,Intermittent
FOODS_2_211_CA_2_evaluation,FOODS_2_211,CA_2,CA,FOODS,FOODS_2,Intermittent
HOUSEHOLD_1_490_TX_3_evaluation,HOUSEHOLD_1_490,TX_3,TX,HOUSEHOLD,HOUSEHOLD_1,Intermittent
HOUSEHOLD_2_247_CA_2_evaluation,HOUSEHOLD_2_247,CA_2,CA,HOUSEHOLD,HOUSEHOLD_2,Intermittent
FOODS_3_222_WI_1_evaluation,FOODS_3_222,WI_1,WI,FOODS,FOODS_3,Intermittent
FOODS_1_109_CA_2_evaluation,FOODS_1_109,CA_2,CA,FOODS,FOODS_1,Intermittent
